351,-1,1062.53,400.17,202.18,619.46,0.8727,0,1
351,-1,897.41,422.93,158.84,518.48,0.8399,0,1
351,-1,85.63,433.42,149.02,348.41,0.7923,0,1
351,-1,335.71,399.62,125.40,397.26,0.7502,0,1
351,-1,0.04,479.76,45.40,382.59,0.5289,0,1
351,-1,733.17,478.76,48.32,121.79,0.4854,0,1
351,-1,674.19,487.22,52.84,116.04,0.4084,0,1
351,-1,1668.34,414.45,115.39,223.49,0.4076,0,1
351,-1,1855.13,386.49,64.44,265.21,0.3626,0,1
351,-1,1517.03,437.17,36.71,105.43,0.3276,0,1
351,-1,1878.51,394.17,40.75,253.03,0.2842,0,1
