451,308,787.96,495.53,41.45,110.53,1.0,0,1
451,353,646.48,435.21,81.91,299.88,1.0,0,1
451,387,502.71,442.64,110.80,282.48,1.0,0,1
451,441,697.45,345.69,311.60,641.65,1.0,0,1
451,452,740.74,492.93,103.91,206.02,1.0,0,1
451,457,1343.27,421.63,132.87,341.70,1.0,0,1
451,460,1276.85,431.38,94.57,317.48,1.0,0,1
451,461,281.91,527.52,76.68,121.51,1.0,0,1
451,464,1145.73,402.25,243.64,659.86,1.0,0,1
451,469,596.99,476.07,61.06,162.27,1.0,0,1
451,473,1039.62,420.14,154.34,530.92,1.0,0,1
451,477,1876.21,386.44,43.05,262.52,1.0,0,1
451,478,1858.76,384.52,60.79,265.85,1.0,0,1
