1.00,68.79,192.65,559.23,899.40
1.00,909.62,243.87,1154.01,898.98
1.00,548.14,109.10,926.56,898.44
1.00,1126.80,391.89,1199.75,770.07
1.00,0.08,385.13,67.69,650.59
1.00,2.95,394.12,170.85,644.25
2.00,68.79,192.65,559.23,899.40
2.00,909.62,243.87,1154.01,898.98
2.00,548.14,109.10,926.56,898.44
2.00,1126.80,391.89,1199.75,770.07
2.00,0.08,385.13,67.69,650.59
2.00,2.95,394.12,170.85,644.25
3.00,68.79,192.65,559.23,899.40
3.00,909.62,243.87,1154.01,898.98
3.00,548.14,109.10,926.56,898.44
3.00,1126.80,391.89,1199.75,770.07
3.00,0.08,385.13,67.69,650.59
3.00,2.95,394.12,170.85,644.25
